Name,Author,User_Rating,Reviews,Price,Year,Genre,Num_Pages,,,,,
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2012,Non Fiction,499,,,,,
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,23,2012,Non Fiction,802,,,,,
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2012,Non Fiction,492,,,,,
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2012,Non Fiction,292,,,,,
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,18,2012,Non Fiction,315,,,,,
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,15,2012,Fiction,940,,,,,
Allegiant,Veronica Roth,3.9,6310,13,2013,Fiction,526,,,,,
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,2013,Fiction,404,,,,,
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,10,2013,Non Fiction,287,,,,,
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,13,2013,Non Fiction,305,,,,,
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,105,2013,Non Fiction,991,,,,,
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,0,2013,Fiction,224,,,,,
Divergent,Veronica Roth,4.6,27098,15,2013,Fiction,487,,,,,
Doctor Sleep: A Novel,Stephen King,4.7,15845,13,2013,Fiction,531,,,,,
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction,356,,,,,
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction,835,,,,,
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction,235,,,,,
Gone Girl,Gillian Flynn,4,57271,10,2013,Fiction,415,,,,,
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction,32,,,,,
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Non Fiction,224,,,,,
Humans of New York,Brandon Stanton,4.8,3490,15,2013,Non Fiction,428,,,,,
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,Non Fiction,371,,,,,
Inferno,Dan Brown,4.1,29651,14,2013,Fiction,463,,,,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction,384,,,,,
Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction,283,,,,,
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Non Fiction,293,,,,,
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction,130,,,,,
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction,129,,,,,
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,217,,,,,
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction,44,,,,,
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,2013,Non Fiction,196,,,,,
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2013,Non Fiction,272,,,,,
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,7,2013,Non Fiction,333,,,,,
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12,2013,Fiction,212,,,,,
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,2013,Non Fiction,288,,,,,
